the_geom,PlaceID,YearPlaceID,City,State,CityState,Year,AsOfDate,dockID,dockCt,stationCt_pct,stationCt_bin,dockNm,docklessCt,dockless_bin,docklessNm,scooterCt,scooter_bin,scooterNm,Type,Lat,Lon,Notes,fips,datedocklaunch,datedockclosed
POINT (-86.1180435 39.978371),IN0082,2020IN0082,Carmel,IN,"Carmel, IN","2,020","202,006",,,,,,0,,-,0,,-,,39.978371,-86.118043,,18057,,
POINT (-76.9275 38.996667),MD00119,2017MD00119,College Park,MD,"College Park, MD","2,017","201,712",97,23,0.38,1,College Park,0,,-,0,,-,Docked only,38.996667,-76.9275,,24033,05/2016,Aug-19
POINT (-85.9213796 39.2014404),IN0083,2018IN0083,Columbus,IN,"Columbus, IN","2,018","201,812",86,8,0.12,1,columBike,0,,-,0,,-,Docked only,39.20144,-85.92138,,18005,05/2016,Nov-19
POINT (-71.066667 42.25),MA00106,2015MA00106,Milton,MA,"Milton, MA","2,015","201,512",,,,,-,0,,-,0,,-,,42.25,-71.066667,,25021,,
POINT (-71.0536625 42.40843),MA00101,2015MA00101,Everett,MA,"Everett, MA","2,015","201,512",,,,,-,0,,-,0,,-,,42.40843,-71.053663,,25017,,
POINT (-110.769167 43.475278),WY00231,2019WY00231,Jackson,WY,"Jackson, WY","2,019","201,912",115,17,0.25,1,START,0,,-,0,,-,Docked only,43.475278,-110.769167,,56039,04/2018,
POINT (-111.9260519 33.4941704),AZ007,2020AZ007,Scottsdale,AZ,"Scottsdale, AZ","2,020","202,006",,,,,-,1,1,Spin,0,,-,Dockless only,33.49417,-111.926052,,4013,,
POINT (-117.4260466 47.6587802),WA00226,2018WA00226,Spokane,WA,"Spokane, WA","2,018","201,812",,,,,-,0,,-,1,1,Lime,E-scooters only,47.65878,-117.426047,,53063,,
POINT (-89.5889864 40.6936488),IL0080,2019IL0080,Peoria,IL,"Peoria, IL","2,019","201,912",107,6,0.09,1,Peoria,0,,-,0,,-,Docked only,40.693649,-89.588986,,17143,05/2017,Jun-20
POINT (-75.1652215 39.9525839),PA00181,2019PA00181,Philadelphia,PA,"Philadelphia, PA","2,019","201,912",43,133,1.97,2,Inde'go,0,,-,0,,-,Docked only,39.952584,-75.165222,,42101,04/2015,
POINT (-121.9780153 37.7799273),CA0029,2017CA0029,San Ramon,CA,"San Ramon, CA","2,017","201,712",75,17,0.28,1,BriteBikes,0,,-,0,,-,Docked only,37.779927,-121.978015,,6013,12/2014,
POINT (-97.336111 37.688889),KS0091,2019KS0091,Wichita,KS,"Wichita, KS","2,019","201,912",89,42,0.62,1,Wichita,0,,-,2,2,"Spin, Veoride",Docked and e-scooters,37.688889,-97.336111,,20173,05/2017,Jun-20
POINT (-74.0323626 40.7439905),NJ00149,2019NJ00149,Hoboken,NJ,"Hoboken, NJ","2,019","201,912",2,67,0.99,1,Hudson Bike Share,0,,-,1,1,Lime,Docked and e-scooters,40.743991,-74.032363,,34017,10/2015,
POINT (-97.1330683 33.2148412),TX00197,2016TX00197,Denton,TX,"Denton, TX","2,016","201,612",,,,,-,0,,-,0,,-,,33.214841,-97.133068,,48121,,
POINT (-121.9780153 37.7799273),CA0029,2020CA0029,San Ramon,CA,"San Ramon, CA","2,020","202,006",75,22,0.33,1,BriteBikes,0,,-,0,,-,Docked only,37.779927,-121.978015,,6013,12/2014,
POINT (-97.1330683 33.2148412),TX00197,2015TX00197,Denton,TX,"Denton, TX","2,015","201,512",,,,,-,0,,-,0,,-,,33.214841,-97.133068,,48121,,
POINT (-122.3320708 47.6062095),WA00225,2019WA00225,Seattle,WA,"Seattle, WA","2,019","201,912",,,,,-,2,2,"Jump, LimeBikes",0,,-,Dockless only,47.606209,-122.332071,,53033,,
POINT (-78.898619 35.9940329),NC00140,2019NC00140,Durham,NC,"Durham, NC","2,019","201,912",,,,,-,1,1,Spin,4,4,"Bird, Lime, Spin, Gotcha",Dockless and e-scooters,35.994033,-78.898619,,37063,,
POINT (-71.0328284 42.3917638),MA00100,2018MA00100,Chelsea,MA,"Chelsea, MA","2,018","201,812",,,,,-,1,1,LimeBike,1,1,Lime,Dockless and e-scooters,42.391764,-71.032828,,25025,,
POINT (-90.1994042 38.6270025),MO00138,2015MO00138,St. Louis,MO,"St. Louis, MO","2,015","201,512",,,,,-,0,,-,0,,-,,38.627003,-90.199404,,29510,,
POINT (-80.13731740000001 26.1224386),FL0050,2019FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL","2,019","201,912",12,22,0.33,1,Broward B-cycle,0,,-,2,2,"Lime, Bird",Docked and e-scooters,26.122439,-80.137317,,12011,12/2011,
POINT (-121.98779799999998 37.557025),CA00236,2016CA00236,Fremont,CA,"Fremont, CA","2,016","201,612",,,,,-,0,,-,0,,-,,37.557025,-121.987798,,6001,,
