title,director,release_date,season,gross,gross_clean,best_picture
Almost Famous,Cameron Crowe,22 September 2000,Fall,$47.39M,47.39,No
CODA,Sian Heder,13 August 2021,Summer,$1.61M,1.61,Yes
E.T. the Extra-Terrestrial,Steven Spielberg,11 June 1982,Summer,$792.91M,792.91,No
Luca,Enrico Casarosa,18 June 2021,Summer,$49.75M,49.75,No
Middle of Nowhere,Ava DuVernay,1 September 2014,Fall,$0.24M,0.24,No
Moonlight,Barry Jenkins,18 November 2016,Fall,$65.34M,65.34,Yes
Parasite,Bong Joon Ho,8 November 2019,Fall,$262.69M,262.69,Yes
Say Anything,Cameron Crowe,14 April 1989,Spring,$21.52M,21.52,No
Selma,Ava DuVernay,9 January 2015,Winter,$66.79M,66.79,No
We Bought a Zoo,Cameron Crowe,23 December 2011,Winter,$120.08M,120.08,No
